Row,Label,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
101,PPEManf,-0.14,-0.13,-0.14,-0.14,-0.14,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.14
102,PPEWhol,-0.11,-0.11,-0.11,-0.12,-0.11,-0.12,-0.12,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.1,-0.1
103,PPEReta,-0.12,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.1,-0.1,-0.1,-0.1,-0.1,-0.09,-0.1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.08,-0.08
104,PPETran,-0.15,-0.15,-0.15,-0.14,-0.14,-0.14,-0.14,-0.14,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.12,-0.12,-0.12,-0.12,-0.12,-0.11
105,PPEInfo,-0.12,-0.12,-0.13,-0.13,-0.13,-0.14,-0.14,-0.14,-0.13,-0.14,-0.13,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.13,-0.13,-0.13,-0.12
106,PPEFina,-0.1,-0.1,-0.1,-0.1,-0.11,-0.12,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.12,-0.12,-0.12,-0.12,-0.11,-0.11,-0.11,-0.11,-0.11
107,PPEReal,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.11,-0.12,-0.12,-0.11,-0.11
108,PPEProf,-0.11,-0.11,-0.11,-0.12,-0.12,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.12,-0.13,-0.13,-0.13,-0.12,-0.12,-0.12,-0.11
109,PPEAdmi,-0.16,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.14,-0.14,-0.14,-0.14,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.12,-0.12,-0.12,-0.12,-0.12,-0.11
110,PPEHcare,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
111,PPEArts,-0.12,-0.12,-0.12,-0.12,-0.12,-0.13,-0.11,-0.12,-0.12,-0.11,-0.11,-0.11,-0.11,-0.1,-0.1,-0.11,-0.11,-0.11,-0.11,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.09
112,PPEAcco,-0.15,-0.15,-0.15,-0.14,-0.14,-0.14,-0.14,-0.14,-0.13,-0.13,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.1,-0.1,-0.1
113,PPEOserv,-0.12,-0.12,-0.12,-0.12,-0.12,-0.11,-0.12,-0.11,-0.11,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.09,-0.1,-0.09,-0.09,-0.08
114,NPE,-0.1,-0.09,-0.08,-0.08,-0.07,-0.07,-0.06,-0.07,-0.07,-0.07,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.07,-0.07,-0.07,-0.07,-0.07,-0.06,-0.06,-0.05
115,NPEMen,-0.15,-0.13,-0.13,-0.12,-0.11,-0.11,-0.1,-0.1,-0.1,-0.1,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.1,-0.1,-0.08
116,NPEWomen,-0.07,-0.06,-0.05,-0.04,-0.04,-0.03,-0.03,-0.04,-0.04,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.04,-0.04,-0.04,-0.04,-0.03,-0.03,-0.02,-0.01
117,NPEMarr,-0.05,-0.04,-0.03,-0.03,-0.02,-0.02,-0.02,-0.03,-0.04,-0.04,-0.05,-0.05,-0.05,-0.05,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.05,-0.04
118,NPENMarr,-0.16,-0.14,-0.14,-0.13,-0.11,-0.11,-0.1,-0.1,-0.1,-0.1,-0.11,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.09,-0.09,-0.09,-0.09,-0.08,-0.08,-0.07,-0.06,-0.05
119,NPEColl,-0.05,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.02,-0.03,-0.03,-0.04,-0.04,-0.04,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.06,-0.05,-0.06,-0.05,-0.05,-0.04
120,NPENColl,-0.15,-0.14,-0.14,-0.13,-0.12,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.1,-0.1,-0.1,-0.1,-0.1,-0.09,-0.09,-0.09,-0.09,-0.08,-0.08,-0.07,-0.07,-0.06,-0.05
121,NPECogn,-0.11,-0.1,-0.09,-0.08,-0.07,-0.07,-0.07,-0.07,-0.07,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.09,-0.08,-0.09,-0.09,-0.08,-0.08,-0.08,-0.08,-0.07,-0.07,-0.06
122,NPENCogn,-0.1,-0.08,-0.08,-0.07,-0.06,-0.06,-0.06,-0.06,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.06,-0.06,-0.06,-0.06,-0.06,-0.05,-0.04,-0.04
123,NPEInte,-0.05,-0.04,-0.03,-0.02,-0.02,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.04,-0.04,-0.04,-0.04,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.04,-0.03
124,NPENInte,-0.16,-0.14,-0.14,-0.13,-0.12,-0.12,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.1,-0.1,-0.1,-0.1,-0.1,-0.09,-0.09,-0.08,-0.08,-0.07,-0.06
125,NPEManu,-0.17,-0.16,-0.15,-0.14,-0.13,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.1,-0.1,-0.1,-0.09,-0.09,-0.09,-0.08,-0.06
126,NPENManu,-0.06,-0.05,-0.04,-0.03,-0.03,-0.02,-0.02,-0.03,-0.03,-0.04,-0.04,-0.04,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.04,-0.04,-0.03
127,NPEAgri,-0.18,-0.16,-0.18,-0.15,-0.15,-0.16,-0.16,-0.16,-0.17,-0.16,-0.17,-0.17,-0.17,-0.17,-0.18,-0.18,-0.18,-0.17,-0.18,-0.17,-0.17,-0.18,-0.18,-0.18,-0.17,-0.17
128,NPECons,-0.18,-0.17,-0.17,-0.16,-0.15,-0.15,-0.15,-0.14,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.17,-0.16,-0.16,-0.15
129,NPEManf,-0.08,-0.06,-0.06,-0.05,-0.03,-0.04,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.04,-0.04,-0.03,-0.04,-0.03,-0.03,-0.03,-0.03,-0.02,-0.01,-0.01,0,0.01,0.02
130,NPEWhol,-0.07,-0.06,-0.04,-0.03,-0.02,-0.02,-0.01,-0.01,-0.02,-0.02,-0.02,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.02,-0.02,-0.01
131,NPEReta,-0.12,-0.1,-0.1,-0.09,-0.08,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.06,-0.06,-0.06,-0.06,-0.06,-0.05,-0.04
132,NPETran,-0.15,-0.15,-0.14,-0.14,-0.13,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.13,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.11,-0.11,-0.11,-0.1,-0.1
133,NPEInfo,-0.04,-0.03,-0.02,0,0,0.01,0,0,-0.01,-0.01,-0.01,-0.02,-0.03,-0.03,-0.04,-0.04,-0.03,-0.04,-0.04,-0.03,-0.05,-0.03,-0.04,-0.04,-0.04,-0.03
134,NPEFina,-0.03,-0.02,-0.01,0,0.01,0,0.01,0.01,0,-0.01,-0.02,-0.02,-0.03,-0.02,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.01
135,NPEReal,-0.08,-0.09,-0.09,-0.08,-0.09,-0.09,-0.09,-0.09,-0.09,-0.1,-0.1,-0.11,-0.11,-0.12,-0.12,-0.12,-0.12,-0.12,-0.13,-0.13,-0.13,-0.13,-0.13,-0.14,-0.14,-0.13
136,NPEProf,-0.05,-0.03,-0.02,-0.02,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.04,-0.05,-0.05,-0.06,-0.06,-0.06,-0.06,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.06,-0.06,-0.06
137,NPEAdmi,-0.17,-0.16,-0.15,-0.15,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.11,-0.11,-0.11,-0.11,-0.1,-0.1,-0.09,-0.09,-0.09,-0.08,-0.07
138,NPEHcare,-0.1,-0.08,-0.07,-0.07,-0.06,-0.06,-0.05,-0.06,-0.06,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.06,-0.06,-0.06,-0.05,-0.06,-0.05,-0.05,-0.04,-0.03,-0.03
139,NPEArts,-0.13,-0.13,-0.13,-0.12,-0.12,-0.12,-0.12,-0.11,-0.12,-0.12,-0.13,-0.12,-0.13,-0.13,-0.13,-0.12,-0.14,-0.13,-0.13,-0.14,-0.13,-0.13,-0.13,-0.13,-0.13,-0.14
140,NPEAcco,-0.18,-0.16,-0.16,-0.15,-0.14,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.12,-0.12,-0.12,-0.12,-0.11,-0.11,-0.11,-0.1,-0.1,-0.1,-0.1,-0.09,-0.09,-0.08
141,NPEOserv,-0.15,-0.13,-0.13,-0.13,-0.13,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.12
